565;0.002254
566;0.001814
567;0.001699
568;0.001986
569;0.002466
570;0.002599
571;0.002531
572;0.002583
573;0.002571
574;0.002495
575;0.002452
576;0.002223
577;0.002080
578;0.002468
579;0.002682
580;0.002378
581;0.002353
582;0.002217
583;0.002349
584;0.002889
585;0.003082
586;0.002664
587;0.002604
588;0.002955
589;0.002884
590;0.002719
591;0.002318
592;0.002404
593;0.002768
594;0.002950
595;0.002915
596;0.002720
597;0.002600
598;0.002482
599;0.002701
600;0.002756
601;0.002582
602;0.002410
603;0.002447
604;0.002645
605;0.002534
606;0.002250
607;0.002463
608;0.002803
609;0.002697
610;0.002596
611;0.002623
612;0.002506
613;0.002422
614;0.002159
615;0.002206
616;0.002775
617;0.002681
618;0.002168
619;0.002393
620;0.002848
621;0.002659
622;0.002280
623;0.002235
624;0.002177
625;0.002120
626;0.002186
627;0.002198
628;0.002059
629;0.001996
630;0.001695
631;0.001474
632;0.001471
633;0.001707
634;0.001653
635;0.001279
636;0.001258
637;0.001271
638;0.001275
639;0.001516
640;0.001624
641;0.001636
642;0.001652
643;0.001670
644;0.001826
645;0.001512
646;0.001421
647;0.001258
648;0.001105
649;0.001149
650;0.001173
651;0.001122
652;0.001214
653;0.001054
654;0.000720
655;0.000514
656;0.000598
657;0.000818
658;0.001060
659;0.000981
660;0.000540
661;0.000398
662;0.000439
663;0.000473
664;0.000501
665;0.000452
666;0.000299
667;0.000101
668;0.000247
669;0.000317
670;0.000069
671;0.000178
672;0.000370
673;0.000260
674;0.000000
675;0.000000
676;0.000177
677;0.000491
678;0.000216
679;0.000000
680;0.000000
681;0.000000
682;0.000000
683;0.000000
684;0.000055
685;0.000127
686;0.000072
687;0.000000
688;0.000000
689;0.000000
690;0.000000
691;0.000000
692;0.000000
693;0.000000
694;0.000000
695;0.000000
696;0.000000
697;0.000000
698;0.000000
699;0.000000
700;0.000000
701;0.000000
702;0.000000
703;0.000000
704;0.000000
705;0.000000
706;0.000000
707;0.000000
708;0.000000
709;0.000000
710;0.000000
711;0.000000
712;0.000000
713;0.000000
714;0.000000
715;0.000000
716;0.000000
717;0.000000
718;0.000000
719;0.000000
720;0.000000
721;0.000000
722;0.000000
723;0.000000
724;0.000000
725;0.000000
726;0.000000
727;0.000000
728;0.000000
729;0.000000
730;0.000000
731;0.000000
732;0.000000
733;0.000000
734;0.000000
735;0.000000
736;0.000000
737;0.000000
738;0.000000
739;0.000000
740;0.000000
741;0.000000
742;0.000000
743;0.000000
744;0.000000
745;0.000000
746;0.000000
747;0.000000
748;0.000000
749;0.000000
750;0.000000
751;0.000000
752;0.000000
753;0.000000
754;0.000000
755;0.000000
756;0.000000
757;0.000000
758;0.000000
759;0.000000
760;0.000000
761;0.000000
762;0.000000
763;0.000000
764;0.000000
765;0.000000
766;0.000000
767;0.000000
768;0.000000
769;0.000000
770;0.000000
771;0.000000
772;0.000000
773;0.000000
774;0.000000
775;0.000000
776;0.000000
777;0.000000
778;0.000000
779;0.000000
780;0.000000
781;0.000000
782;0.000000
783;0.000000
784;0.000000
785;0.000000
786;0.000000
787;0.000000
788;0.000000
789;0.000000
790;0.000000
791;0.000000
792;0.000000
793;0.000000
794;0.000000
795;0.000000
796;0.000000
797;0.000000
798;0.000000
799;0.000000
800;0.000000
801;0.000000
802;0.000000
803;0.000000
804;0.000000
805;0.000000
806;0.000000
807;0.000000
808;0.000000
809;0.000000
810;0.000000
811;0.000000
812;0.000000
813;0.000000
814;0.000000
815;0.000000
816;0.000000
817;0.000000
818;0.000000
819;0.000000
820;0.000000
821;0.000000
822;0.000000
823;0.000000
824;0.000000
825;0.000000
826;0.000000
827;0.000000
828;0.000000
829;0.000000
830;0.000000
831;0.000000
832;0.000000
833;0.000000
834;0.000000
835;0.000000
836;0.000000
837;0.000000
838;0.000000
839;0.000000
840;0.000000
841;0.000000
842;0.000000
843;0.000000
844;0.000000
845;0.000000
846;0.000000
847;0.000000
848;0.000000
849;0.000000
850;0.000000
851;0.000000
852;0.000000
853;0.000000
854;0.000000
855;0.000000
856;0.000000
857;0.000000
858;0.000000
859;0.000000
860;0.000000
861;0.000000
862;0.000000
863;0.000000
864;0.000000
865;0.000000
866;0.000000
867;0.000000
868;0.000000
869;0.000000
870;0.000000
871;0.000000
872;0.000000
873;0.000000
874;0.000000
875;0.000000
876;0.000000
877;0.000000
878;0.000000
879;0.000000
880;0.000000
881;0.000000
882;0.000000
883;0.000000
884;0.000000
885;0.000000
886;0.000000
887;0.000000
888;0.000000
889;0.000000
890;0.000000
891;0.000000
892;0.000000
893;0.000000
894;0.000000
895;0.000000
896;0.000000
897;0.000000
898;0.000000
899;0.000000
900;0.000000
901;0.000000
902;0.000000
903;0.000000
904;0.000000
905;0.000000
906;0.000000
907;0.000000
908;0.000000
909;0.000000
910;0.000000
911;0.000000
912;0.000000
913;0.000000
914;0.000000
915;0.000000
916;0.000000
917;0.000000
918;0.000000
919;0.000000
920;0.000000
921;0.000000
922;0.000000
923;0.000000
924;0.000000
925;0.000000
926;0.000000
927;0.000000
928;0.000000
929;0.000000
930;0.000000
931;0.000000
932;0.000000
933;0.000000
934;0.000000
935;0.000000
936;0.000000
937;0.000000
938;0.000000
939;0.000000
940;0.000000
941;0.000000
942;0.000000
943;0.000000
944;0.000000
945;0.000000
946;0.000000
947;0.000000
948;0.000000
949;0.000000
950;0.000000
951;0.000000
952;0.000000
953;0.000000
954;0.000000
955;0.000000
956;0.000000
957;0.000000
958;0.000000
959;0.000000
960;0.000000
961;0.000000
962;0.000000
963;0.000000
964;0.000000
965;0.000000
966;0.000000
967;0.000000
968;0.000000
969;0.000000
970;0.000000
971;0.000000
972;0.000000
973;0.000000
974;0.000000
975;0.000000
976;0.000000
977;0.000000
978;0.000000
979;0.000000
980;0.000000
981;0.000000
982;0.000000
983;0.000000
984;0.000000
985;0.000000
986;0.000000
987;0.000000
988;0.000000
989;0.000000
990;0.000000
991;0.000000
992;0.000000
993;0.000000
994;0.000000
995;0.000000
996;0.000000
997;0.000000
998;0.000000
999;0.000000
1000;0.000000
1001;0.000000
1002;0.000000
1003;0.000000
1004;0.000000
1005;0.000000
1006;0.000000
1007;0.000000
1008;0.000000
1009;0.000000
1010;0.000000
1011;0.000000
1012;0.000000
1013;0.000000
1014;0.000000
1015;0.000000
1016;0.000000
1017;0.000000
1018;0.000000
1019;0.000032
1020;0.000000
